Time,Type,Order ID,Size,Price,Direction,Ask Price 1,Ask Size 1,Bid Price 1,Bid Size 1,Ask Price 2,Ask Size 2,Bid Price 2,Bid Size 2,Ask Price 3,Ask Size 3,Bid Price 3,Bid Size 3,Ask Price 4,Ask Size 4,Bid Price 4,Bid Size 4,Ask Price 5,Ask Size 5,Bid Price 5,Bid Size 5,osi,rv
34200.004241176,1,16113575,0.0008092069771623809,585.33,1,585.94,200,585.33,18,585.98,200,585.3,150,586.1,200,585.1,5,586.89,300,585.01,89,586.95,50,584.97,5,0.08256880733944955,0.20520794975597356
34200.271739507,1,2109823,0.002247797158784391,585.7,1,585.74,40,585.73,20,585.93,100,585.7,50,585.94,200,585.36,18,585.98,200,585.35,18,586.1,200,585.33,18,0.3333333333333333,0.5700220826554822
34200.271739507,1,1373927,0.0011238985793921956,585.78,-1,585.74,40,585.73,20,585.75,82,585.7,50,585.78,25,585.69,20,585.93,100,585.65,5,585.94,200,585.64,20,0.3333333333333333,0.2850110413277411
34200.275057494,4,3647217,4.4955943175687825e-05,585.73,1,585.75,57,585.73,19,585.78,45,585.7,50,585.8,4,585.69,20,585.82,5,585.65,5,585.83,7,585.64,20,0.25,0.011400441653109642
34200.27720806,3,15836282,0.004495594317568782,586.89,-1,585.93,63,585.74,50,585.94,200,585.73,9,585.98,200,585.7,50,586.1,200,585.69,20,586.89,200,585.65,5,0.4424778761061947,1.1400441653109643
34201.015781125,1,16310958,0.004495594317568782,585.46,1,585.87,100,585.66,18,585.89,100,585.65,5,585.93,59,585.64,20,585.94,300,585.6,3,585.98,400,585.46,100,0.15254237288135594,1.1400441653109643
34201.01601494,3,16310958,0.004495594317568782,585.46,1,585.87,100,585.66,18,585.89,100,585.65,5,585.93,59,585.64,20,585.94,300,585.6,3,585.98,400,585.44,167,0.15254237288135594,1.1400441653109643
34201.1731408,1,16337407,0.00022477971587843914,585.86,-1,585.86,5,585.47,100,585.87,118,585.44,167,585.89,100,585.4,50,585.93,59,585.38,22,585.94,300,585.36,5,0.9523809523809523,0.057002208265548214
34201.188124042,1,16339418,0.0006743391476353174,585.83,-1,585.83,15,585.49,15,585.84,18,585.48,18,585.85,18,585.44,167,585.86,21,585.42,100,585.87,118,585.4,50,0.5,0.17100662479664464
34201.384145378,3,16337414,0.0008092069771623809,585.48,1,585.83,15,585.49,15,585.84,18,585.44,167,585.85,18,585.42,100,585.86,21,585.4,50,585.87,118,585.38,22,0.5,0.20520794975597356
