Episode,Total PnL,Average Sharpe Ratio,Total Trades,Buy Trades,Sell Trades,Average Inventory Level,Execution Quality (Avg),Cumulative Reward,MAP,OFI,RSI
1,197579797.0607514,-0.00033373716195018863,22592,116,165,0.0054799476018312174,0.009569420127437148,177812087.24624577,605.7111037323818,197504782.44746938,47.05764617767025
2,195666736.63050848,-0.0003341001081911965,22588,116,165,0.005480918019327558,0.009569420127437148,176090333.21902692,605.7111037323818,195591722.01721328,47.05764617767025
3,192273346.68134108,-0.00033388942128365464,22590,116,165,0.0054804327676215535,0.009569420127437148,173036282.08477557,605.7111037323818,192198332.06805405,47.05764617767025
4,184944226.97584385,-0.0003338068143085276,22591,116,165,0.005480190173988352,0.009569420127437148,166440074.25982887,605.7111037323818,184869212.36256567,47.05764617767025
5,184237470.88359982,-0.000334232179203022,22587,116,165,0.005481160677406068,0.009569420127437148,165803994.1368077,605.7111037323818,184162456.27028295,47.05764617767025
6,195836132.81696302,-0.00033500373805432567,22583,116,165,0.005482131524623428,0.009569420127437148,176242790.2368382,605.7111037323818,195761118.2036425,47.05764617767025
7,207472676.12626848,-0.000334232179211174,22587,116,165,0.005481160677406068,0.009569420127437148,186715678.855213,605.7111037323818,207397661.51297954,47.05764617767025
8,213281916.38102263,-0.00033476719268666196,22584,116,165,0.005481888780577881,0.009569420127437148,191943995.35449025,605.7111037323818,213206901.76772723,47.05764617767025
9,214720403.56698525,-0.000334385305362761,22586,116,165,0.005481403356972057,0.009569420127437148,193238633.6418581,605.7111037323818,214645388.95369256,47.05764617767025
10,220300927.690055,-0.00033388942128364526,22590,116,165,0.0054804327676215535,0.009569420127437148,198261104.99261957,605.7111037323818,220225913.07675514,47.05764617767025
