Episode,Total PnL,Average Sharpe Ratio,Total Trades,Buy Trades,Sell Trades,Average Inventory Level,Execution Quality (Avg),Cumulative Reward,MAP,OFI,RSI
1,225150122.86908868,0.0001670100168337236,22584,149,88,16.439194375993868,0.010740075123015265,202600335.40494445,605.2601884896607,165876.24553876594,51.59493632429476
2,207921816.90330806,0.0001063182586880903,22589,154,88,15.178855725337735,0.011096116167230542,187098176.36129835,605.4331831476486,140402.6437974666,51.59493632429476
1,224965586.75232038,0.00023708951170525375,22590,100,134,0.004070107786921441,0.009221144361500342,202459734.0114157,605.7278205641143,224909867.15423092,48.651593010187575
2,198039369.65414923,0.00023655705299918374,22584,100,134,0.004071189112050805,0.009221144361500342,178226139.1630612,605.7278205641143,197983650.05605093,48.651593010187575
3,180827293.6115253,0.00023700242442157446,22589,100,134,0.004070287967885048,0.009221144361500342,162735270.2747015,605.7278205641143,180771574.01347828,48.651593010187575
4,196396413.32419366,0.0002372617851090759,22592,100,134,0.00406974747284682,0.009221144361500342,176747477.74610072,605.7278205641143,196340693.72611362,48.651593010187575
5,201187928.93828708,0.00023691468954102672,22588,100,134,0.004070468164802344,0.009221144361500342,181059842.15878496,605.7278205641143,201132209.34017622,48.651593010187575
6,215955965.254173,0.0002364659115333708,22583,100,134,0.004071369388768337,0.009221144361500342,194351075.29308334,605.7278205641143,215900245.65609652,48.651593010187575
7,185145635.65888917,0.0002366474895520645,22585,100,134,0.004071008851297559,0.009221144361500342,166621778.47732964,605.7278205641143,185089916.06080106,48.651593010187575
8,189146303.8631384,0.0002372617851090759,22592,100,134,0.00406974747284682,0.009221144361500342,170222379.2311515,605.7278205641143,189090584.2650741,48.651593010187575
9,214734980.1565581,0.00023700242443148897,22589,100,134,0.004070287967885048,0.009221144361500342,193252188.16523165,605.7278205641143,214679260.55848622,48.651593010187575
10,183959632.84410337,0.0002368262962225658,22587,100,134,0.004070648377675449,0.009221144361500342,165554375.76402247,605.7278205641143,183903913.24603876,48.651593010187575
