Episode,Total PnL,Average Sharpe Ratio,Total Trades,Buy Trades,Sell Trades,Average Inventory Level,Execution Quality (Avg),Cumulative Reward,MAP,OFI,RSI
1,119864922.70578764,0.006670130209099059,13993,105,259,0.9892830081752312,0.3097688292110998,107874234.75082661,583.3691632214477,111792020.18687348,52.43236073392224
2,139044701.83783767,0.00664335712124291,13991,112,287,1.0759249241679736,0.3063934550526337,125135951.58698055,583.2536033878063,130266237.03427781,51.84693580720167
3,142188759.5902146,0.006633639458791553,13991,113,288,1.0946778871881102,0.30636236397568506,127965585.71683785,583.251686378334,133257396.30470872,52.36560300413244
4,118135972.2264924,0.006766460247824778,13994,103,256,0.9712831807936069,0.31143609771757536,106318216.75167835,583.4249450976567,110209492.01166728,52.2645284583602
5,128043269.72349131,0.006747957273294993,13993,108,276,1.0412051461595115,0.30856962903311275,115234770.66255233,583.3279362989979,119546792.75672083,52.09844705159627
6,142195116.12170026,0.006634848954516956,13990,113,288,1.094756134356601,0.30636236397568506,127971306.68517521,583.251686378334,133263752.83620098,52.36560300413244
7,143762037.46673808,0.006625114994701954,13998,113,288,1.0941304700420664,0.30636236397568506,129381535.17570916,583.251686378334,134830674.18123248,52.36560300413244
8,126816896.90738606,0.006675373245096394,13996,107,271,1.033654992714627,0.3092238325405214,114130982.46697678,583.3231079477006,118380168.51853651,52.32346174260797
9,141826223.37208548,0.006627560196335645,13996,113,288,1.0942868190660795,0.30636236397568506,127639302.67052099,583.251686378334,132894860.08658652,52.36560300413244
10,145326658.14950016,0.006832094321223299,13992,116,304,1.1754153402724956,0.3060771628600356,130789660.64421003,583.2600600479202,135735709.89984682,52.56743426583572
